Jan,Anne,Hansen
Bjørn,Inger,Johansen
Per,Kari,Olsen
Ole,Ingrid,Larsen
Lars,Marit,Andersen
Kjell,Liv,Pedersen
Thomas,Ida,Nilsen
Svein,Maria,Kristiansen
Knut,Anna,Jensen
Tor,Ann,Karlsen
Geir,Eva,Johnsen
Martin,Hilde,Pettersen
Hans,Nina,Eriksen
Morten,Marianne,Berg
Andreas,Elisabeth,Haugen
Erik,Kristin,Hagen
Arne,Astrid,Johannessen
Terje,Bente,Jacobsen
Daniel,Berit,Andreassen
Anders,Heidi,Dahl
John,Silje,Jørgensen
Rune,Hanne,Lund
Odd,Linda,Henriksen
Magnus,Tone,Halvorsen
Trond,Randi,Jakobsen
Marius,Solveig,Sørensen
Henrik,Anita,Moen
Kristian,Elin,Gundersen
Jon,Bjørg,Strand
Tom,Tove,Iversen
Jonas,Camilla,Solberg
Stian,Julie,Svendsen
Tore,Wenche,Eide
Olav,Emma,Martinsen
Fredrik,Hege,Knutsen
Christian,Marie,Paulsen
Espen,Mona,Bakken
Eirik,Ellen,Kristoffersen
Øyvind,Nora,Nguyen
Håkon,Ragnhild,Lie
Harald,Monica,Mathisen
Nils,Mari,Ali
Emil,Thea,Amundsen
Mathias,Sara,Rasmussen
Alexander,Emilie,Solheim
Rolf,May,Berge
Leif,Kristine,Lunde
Gunnar,Stine,Bakke
Helge,Karin,Nygård
Jørgen,Helene,Moe
Frode,Gerd,Kristensen
Øystein,Aud,Fredriksen
Adrian,Laila,Holm
Steinar,Line,Lien
Petter,Malin,Hauge
Tobias,Trine,Christensen
Einar,Lene,Andresen
Kjetil,Else,Nielsen
Sebastian,Turid,Ahmed
Kristoffer,Sissel,Knudsen
Sander,Mette,Evensen
Stein,Sofie,Sæther
Johan,Gunn,Haugland
Stig,Åse,Myhre
Dag,Linn,Aas
Frank,Jorunn,Thomassen
William,Lise,Hanssen
Sondre,Vilde,Simonsen
Arild,Frida,Sivertsen
Kenneth,Unni,Danielsen
Pål,Grethe,Berntsen
Ola,Amalie,Sandvik
Håvard,Anette,Rønning
Tommy,Siri,Arnesen
Johannes,Reidun,Næss
Kim,Grete,Antonsen
Vidar,Cecilie,Vik
Karl,Marte,Haug
Simen,Hanna,Ellingsen
Benjamin,Andrea,Thorsen
Oliver,Mia,Edvardsen
Jens,Gro,Birkeland
Roger,Eli,Isaksen
Sverre,Jenny,Ruud
Elias,Martine,Gulbrandsen
Markus,Britt,Aasen
Eivind,Elise,Myklebust
Robert,Siv,Tangen
Vegard,Irene,Strøm
Ivar,Janne,Ødegård
Even,Kjersti,Helland
Thor,Karoline,Eliassen
Magne,Sigrid,Bøe
Sindre,Victoria,Mikkelsen
Roy,Lena,Aune
Aleksander,Tonje,Jenssen
David,Kirsten,Tveit
Sigurd,Maren,Brekke
Kåre,Oda,Abrahamsen
Mats,Ingeborg,Madsen